species,value,species_mod,aphia_id,sens
Ampelisca longisetosa,1,Ampelisca longisetosa,NA,AZTI
Ampelisca lusitanica,1,Ampelisca lusitanica,101907,AZTI
Ampelisca macrocephala,1,Ampelisca macrocephala,101908,AZTI
Ampelisca miharaensis,1,Ampelisca miharaensis,423009,AZTI
Ampelisca milleri,2,Ampelisca milleri,423010,AZTI
Ampelisca misakiensis,1,Ampelisca misakiensis,423012,AZTI
Ampelisca multispinosa,1,Ampelisca multispinosa,101911,AZTI
Ampelisca naikaiensis,1,Ampelisca naikaiensis,423015,AZTI
Ampelisca odontoplax,1,Ampelisca odontoplax,101912,AZTI
Ampelisca pectenata,1,Ampelisca pectenata,179882,AZTI
Ampelisca planierensis,1,Ampelisca planierensis,101914,AZTI
Ampelisca provincialis,1,Ampelisca provincialis,101915,AZTI
Ampelisca pseudosarsi,1,Ampelisca pseudosarsi,101916,AZTI
Ampelisca pseudospinimana,1,Ampelisca pseudospinimana,101917,AZTI
Ampelisca pugetica,2,Ampelisca pugetica,423026,AZTI
Ampelisca pusilla,1,Ampelisca pusilla,101918,AZTI
Ampelisca romigi,2,Ampelisca romigi,423028,AZTI
Ampelisca rubella,1,Ampelisca rubella,101920,AZTI
Ampelisca ruffoi,1,Ampelisca ruffoi,101922,AZTI
Ampelisca sarsi,1,Ampelisca sarsi,101923,AZTI
Ampelisca scabripes,1,Ampelisca scabripes,423030,AZTI
Ampelisca sp.,1,Ampelisca,101445,AZTI
Ampelisca spinifer,1,Ampelisca spinifer,101926,AZTI
Ampelisca spinimana,1,Ampelisca spinimana,101927,AZTI
Ampelisca spinipes,1,Ampelisca spinipes,101928,AZTI
Ampelisca spooneri,1,Ampelisca spooneri,101929,AZTI
Ampelisca tenuicornis,1,Ampelisca tenuicornis,101930,AZTI
Ampelisca toulemonti,1,Ampelisca toulemonti,101931,AZTI
Ampelisca truncata,1,Ampelisca truncata,101932,AZTI
Ampelisca typica,1,Ampelisca typica,101933,AZTI
Ampelisca unsocalae,2,Ampelisca unsocalae,423041,AZTI
Ampelisca vadorum,1,Ampelisca vadorum,158022,AZTI
Ampelisca verrilli,1,Ampelisca verrilli,158023,AZTI
AMPELISCIDAE,1,AMPELISCIDAE,101364,AZTI
Ampharete acutifrons,2,Ampharete acutifrons,129775,AZTI
Ampharete arctica,1,Ampharete arctica,159916,AZTI
Ampharete baltica,2,Ampharete baltica,129776,AZTI
Ampharete borealis,2,Ampharete borealis,332927,AZTI
Ampharete capensis,2,Ampharete capensis,332928,AZTI
Ampharete crassiseta,3,Ampharete crassiseta,332929,AZTI
Ampharete elongata,2,Ampharete elongata,762335,AZTI
Ampharete falcata,2,Ampharete falcata,129777,AZTI
Ampharete finmarchica,1,Ampharete finmarchica,129778,AZTI
Ampharete goesi,1,Ampharete goesi,129779,AZTI
Ampharete grubei,1,Ampharete grubei,152272,AZTI
Ampharete kerguelensis,3,Ampharete kerguelensis,172857,AZTI
Ampharete labrops,2,Ampharete labrops,326317,AZTI
Ampharete lindstroemi,1,Ampharete lindstroemi,129781,AZTI
Ampharete lineata,2,Ampharete lineata,744688,AZTI
Ampharete manriquei,1,Ampharete manriquei,762336,AZTI
Ampharete octocirrata,2,Ampharete octocirrata,332932,AZTI
Ampharete oculata,2,Ampharete oculata,762338,AZTI
Ampharete sibirica,1,Ampharete sibirica,332933,AZTI
Ampharetides sp.,1,Ampharetides,174982,AZTI
Amphichaeta leydigi,5,Amphichaeta leydigi,593128,AZTI
Amphichaeta sannio,5,Amphichaeta sannio,137477,AZTI
Amphicorina sp.,2,Amphicorina,154923,AZTI
Amphicteis chilensis,3,Amphicteis chilensis,326331,AZTI
Amphicteis floridus,3,Amphicteis floridus,157159,AZTI
Amphicteis gunneri,3,Amphicteis gunneri,129784,AZTI
Amphicteis gunneri antarctica,3,Amphicteis gunneri antarctica,335359,AZTI
Amphicteis midas,3,Amphicteis midas,129785,AZTI
Amphicteis scaphobranchiata,1,Amphicteis scaphobranchiata,326344,AZTI
Amphicteis sp.,0,Amphicteis,129156,AZTI
Amphicteis vestis,0,Amphicteis vestis,326349,AZTI
Amphictene auricoma,1,Amphictene auricoma,152448,AZTI
Amphictene capensis,1,Amphictene capensis,NA,AZTI
Amphictene sp.,1,Amphictene,152447,AZTI
Amphidesma lucinale,1,Amphidesma lucinale,747608,AZTI
Amphideutopus oculatus,3,Amphideutopus oculatus,491900,AZTI
Amphiduros fuscescens,1,Amphiduros fuscescens,130148,AZTI
Amphiduros sp.,1,Amphiduros,129303,AZTI
Amphiglena mediterranea,1,Amphiglena mediterranea,130869,AZTI
Amphilepis norvegica,1,Amphilepis norvegica,125057,AZTI
Amphilochoides boecki,2,Amphilochoides boecki,101960,AZTI
Amphilochoides gracilis,2,Amphilochoides gracilis,NA,AZTI
Amphilochoides odontonyx,2,Amphilochoides odontonyx,101961,AZTI
Amphilochoides serratipes,2,Amphilochoides serratipes,101963,AZTI
Amphilochoides sp.,2,Amphilochoides,101448,AZTI
Amphilochus manudens,2,Amphilochus manudens,101967,AZTI
Amphilochus neapolitanus,2,Amphilochus neapolitanus,101968,AZTI
Amphilochus sp.,2,Amphilochus,101450,AZTI
Amphilochus spencebatei,2,Amphilochus spencebatei,101971,AZTI
Amphilochus tenuimanus,2,Amphilochus tenuimanus,101972,AZTI
Amphinome rostrata,1,Amphinome rostrata,129825,AZTI
Amphiodia atra,2,Amphiodia atra,242649,AZTI
Amphiodia obtecta,3,Amphiodia obtecta,479014,AZTI
Amphiodia sp.,1,Amphiodia,172595,AZTI
Amphiodia trychna,2,Amphiodia trychna,242681,AZTI
Amphiodia urtica,1,Amphiodia urtica,242683,AZTI
Amphioplus depressus,2,Amphioplus depressus,245777,AZTI
Amphioplus japonicus,2,Amphioplus japonicus,NA,AZTI
Amphioplus laevis,2,Amphioplus laevis,212930,AZTI
Amphioplus macraspis,1,Amphioplus macraspis,244982,AZTI
Amphioplus praestans,2,Amphioplus praestans,NA,AZTI
Amphioplus sinicus,2,Amphioplus sinicus,389123,AZTI
Amphioplus sp.,1,Amphioplus,123611,AZTI
Amphioplus strongyloplax,1,Amphioplus strongyloplax,244980,AZTI
Amphioplus tricoides,2,Amphioplus tricoides,NA,AZTI
Amphipholis gracillima,1,Amphipholis gracillima,242864,AZTI
Amphipholis januarii,1,Amphipholis januarii,149906,AZTI
Amphipholis kochii,1,Amphipholis kochii,242866,AZTI
Amphipholis misera,1,Amphipholis misera,242872,AZTI
Amphipholis sp.,1,Amphipholis,123612,AZTI
Amphipholis squamata,1,Amphipholis squamata,125064,AZTI
Amphiporeia virginiana,1,Amphiporeia virginiana,382372,AZTI
Amphiporus allucens,3,Amphiporus allucens,122644,AZTI
Amphiporus bimaculatus,2,Amphiporus bimaculatus,176812,AZTI
Amphiporus bioculatus,3,Amphiporus bioculatus,122651,AZTI
Amphiporus bioculatus,3,Amphiporus bioculatus,1416094,AZTI
Amphiporus bioculatus,3,Amphiporus bioculatus,176879,AZTI
Amphiporus californicus,2,Amphiporus californicus,147976,AZTI
Amphiporus cruentatus,2,Amphiporus cruentatus,156290,AZTI
Amphiporus imparispinosus,2,Amphiporus imparispinosus,156295,AZTI
Amphiporus lactifloreus,3,Amphiporus lactifloreus,122666,AZTI
Amphiporus rubellus,2,Amphiporus rubellus,148018,AZTI
Amphisamytha japonica,3,Amphisamytha japonica,326389,AZTI
Amphissa undata,2,Amphissa undata,511363,AZTI
